iter	Passed	Remaining
0	140	140638
1	141	70490
2	141	47086
3	142	35377
4	142	28355
5	142	23676
6	143	20336
7	143	17846
8	144	15891
9	144	14326
10	145	13044
11	145	11979
12	145	11078
13	146	10304
14	146	9633
15	147	9052
16	147	8540
17	148	8080
18	148	7666
19	148	7295
20	149	6959
21	149	6652
22	150	6373
23	150	6116
24	150	5881
25	151	5669
26	151	5467
27	152	5280
28	152	5105
29	152	4942
30	153	4789
31	153	4649
32	154	4517
33	154	4395
34	155	4277
35	155	4165
36	155	4059
37	156	3958
38	156	3862
39	157	3770
40	157	3683
41	157	3600
42	158	3522
43	158	3450
44	159	3378
45	159	3309
46	159	3243
47	160	3179
48	160	3119
49	161	3061
50	161	3005
51	161	2951
52	162	2902
53	162	2852
54	163	2804
55	163	2758
56	164	2713
57	164	2669
58	164	2628
59	165	2588
60	165	2549
61	166	2511
62	166	2477
63	167	2442
64	167	2409
65	167	2375
66	168	2343
67	168	2312
68	169	2281
69	169	2252
70	170	2224
71	170	2196
72	170	2168
73	171	2142
74	171	2115
75	171	2090
76	172	2065
77	172	2040
78	173	2017
79	173	1994
80	173	1973
81	174	1952
82	174	1929
83	174	1908
84	175	1887
85	175	1868
86	176	1849
87	176	1830
88	177	1812
89	177	1796
90	178	1779
91	178	1762
92	179	1745
93	179	1728
94	179	1712
95	180	1696
96	180	1684
97	181	1671
98	182	1656
99	182	1642
100	182	1628
101	183	1614
102	183	1600
103	184	1587
104	184	1573
105	185	1560
106	185	1548
107	185	1535
108	186	1522
109	186	1510
110	187	1498
111	187	1486
112	187	1474
113	188	1462
114	188	1451
115	189	1440
116	189	1429
117	189	1418
118	190	1408
119	190	1397
120	190	1387
121	191	1376
122	191	1366
123	192	1356
124	192	1346
125	192	1337
126	193	1327
127	193	1318
128	193	1309
129	194	1301
130	194	1292
131	195	1284
132	195	1275
133	196	1267
134	196	1258
135	196	1251
136	197	1243
137	197	1236
138	198	1228
139	198	1220
140	199	1213
141	199	1204
142	199	1197
143	200	1189
144	200	1182
145	200	1175
146	201	1168
147	201	1161
148	202	1154
149	202	1147
150	202	1140
151	203	1133
152	203	1126
153	203	1120
154	204	1113
155	204	1108
156	205	1101
157	205	1095
158	205	1089
159	206	1083
160	206	1076
161	206	1070
162	207	1064
163	207	1058
164	208	1053
165	208	1048
166	208	1042
167	209	1037
168	209	1031
169	210	1026
170	210	1021
171	210	1015
172	211	1010
173	211	1005
174	212	1000
175	212	995
176	213	990
177	213	985
178	213	980
179	214	975
180	214	970
181	214	965
182	215	961
183	215	956
184	216	952
185	216	947
186	216	942
187	217	938
188	217	933
189	218	929
190	218	924
191	218	920
192	219	916
193	219	911
194	219	908
195	220	904
196	220	899
197	221	895
198	221	891
199	221	887
200	222	883
201	222	879
202	222	875
203	223	871
204	223	868
205	224	864
206	224	860
207	225	857
208	225	853
209	225	849
210	226	845
211	226	842
212	226	838
213	227	835
214	227	831
215	228	828
216	228	824
217	229	821
218	229	818
219	229	814
220	230	811
221	230	807
222	230	804
223	231	801
224	231	798
225	232	795
226	232	791
227	232	788
228	233	785
229	233	782
230	234	779
231	234	775
232	234	772
233	235	770
234	235	767
235	236	764
236	236	761
237	236	758
238	237	755
239	237	752
240	237	749
241	238	746
242	238	743
243	239	741
244	239	738
245	239	735
246	240	732
247	240	729
248	241	727
249	241	724
250	241	721
251	242	718
252	242	716
253	243	714
254	243	711
255	244	709
256	244	706
257	244	703
258	245	701
259	245	698
260	245	696
261	246	693
262	246	691
263	247	689
264	247	686
265	248	684
266	248	682
267	248	679
268	249	677
269	249	674
270	249	672
271	250	670
272	250	668
273	251	666
274	251	663
275	252	661
276	252	659
277	253	657
278	253	654
279	253	652
280	254	650
281	254	648
282	255	646
283	255	644
284	255	641
285	256	639
286	256	637
287	257	635
288	257	633
289	257	631
290	258	629
291	258	627
292	259	625
293	259	623
294	259	621
295	260	619
296	260	617
297	261	614
298	261	612
299	261	610
300	262	609
301	262	607
302	263	605
303	263	603
304	263	601
305	264	599
306	264	597
307	265	595
308	265	593
309	265	591
310	266	590
311	266	588
312	267	586
313	267	584
314	267	582
315	268	580
316	268	578
317	269	576
318	269	575
319	269	573
320	270	571
321	270	570
322	271	568
323	271	566
324	271	564
325	272	562
326	272	561
327	273	559
328	273	557
329	273	555
330	274	554
331	274	552
332	275	550
333	275	549
334	275	547
335	276	545
336	276	543
337	276	542
338	277	540
339	277	538
340	278	537
341	278	535
342	278	534
343	279	532
344	279	530
345	279	529
346	280	527
347	280	525
348	281	524
349	281	522
350	281	521
351	282	519
352	282	518
353	283	516
354	283	514
355	283	513
356	284	511
